"CODE","DISTRICT"
"КК","КРИМ"
"КВ","ВІННИЦЬКА"
"КС","ВОЛИНСЬКА"
"КЕ","ДНІПРОПЕТРОВСЬКА"
"КН","ДОНЕЦЬКА"
"КМ","ЖИТОМИРСЬКА"
"КО","ЗАКАРПАТСЬКА"
"КР","ЗАПОРІЗЬКА"
"КТ","ІВАНО-ФРАНКІВСЬКА"
"КІ","КИЇВСЬКА"
"КА","КИЇВ"
"НА","КІРОВОГРАДСЬКА"
"НВ","ЛУГАНСЬКА"
"НС","ЛЬВІВСЬКА"
"НЕ","МИКОЛАЇВСЬКА"
"НН","ОДЕСЬКА"
"НІ","ПОЛТАВСЬКА"
"НК","РІВНЕНСЬКА"
"НМ","СУМСЬКА"
"НО","ТЕРНОПІЛЬСЬКА"
"КХ","ХАРКІВСЬКА"
"НТ","ХЕРСОНСЬКА"
"НХ","ХМЕЛЬНИЦЬКА"
"ІА","ЧЕРКАСЬКА"
"ІВ","ЧЕРНІГІВСЬКА"
"ІЕ","ЧЕРНІВЕЦЬКА"
"ІН","СЕВАСТОПОЛЬ"
